discount,gender,age,marital_status,education,city_level,purchase_power,original_unit_price
1,Male,16-25,Married,3,,2,298
1,Male,16-25,Married,3,,2,178
,Female,26-35,Single,3,3,2,55
1,Female,26-35,Single,3,3,3,238
1,Female,26-35,Single,,3,4,79.9
,Male,16-25,Single,2,3,3,0
1,Female,26-35,Married,3,2,2,49
1,Female,26-35,Single,3,2,3,168
,Male,26-35,Married,3,1,2,58
1,Male,26-35,Married,3,1,2,148
1,Male,26-35,Married,3,1,2,59
1,Female,26-35,Married,3,3,2,70
1,Female,46-55,Unknown,,3,,66
1,Male,16-25,Single,4,2,2,78
,Female,36-45,Married,,4,,0
,Male,16-25,Single,2,,3,128
1,Male,26-35,Married,3,4,2,129
1,Female,26-35,Married,3,2,3,69
1,Male,36-45,Married,4,1,2,79
1,Male,36-45,Married,4,1,2,149
1,Female,36-45,Married,3,2,3,118
1,Female,16-25,Unknown,,2,,78
,Female,26-35,Married,3,2,2,0
1,Female,26-35,Married,3,2,2,78
1,Female,26-35,Married,3,2,2,59.9
1,Male,16-25,Single,3,2,2,69
1,Female,26-35,Single,4,4,2,109
1,Female,36-45,Married,4,1,3,298
1,Female,46-55,Single,,2,2,59
1,Female,16-25,Unknown,,2,,59
1,Female,>=56,Single,3,3,2,238
1,Male,46-55,Married,4,2,2,139
1,Male,26-35,Unknown,,2,,119
,Male,36-45,Married,2,2,,0
1,Male,36-45,Married,3,1,2,59
1,Male,26-35,Married,4,3,2,0
1,Female,46-55,Single,,,3,118
1,Female,36-45,Married,3,4,3,79
1,Female,36-45,Married,3,4,3,69
,Female,36-45,Married,3,2,2,0
,Female,36-45,Married,2,4,1,69
,Male,16-25,Unknown,,3,,66
,Female,26-35,Single,3,2,2,142
1,Female,26-35,Single,3,2,2,330
1,Female,26-35,Single,3,2,2,49
1,Female,26-35,Single,3,2,2,189
1,Female,26-35,Single,2,4,2,99
,Male,46-55,Married,4,1,2,96
1,Female,26-35,Married,3,3,3,12
1,Female,26-35,Married,3,4,2,78
1,Female,26-35,Single,3,3,3,78
1,Female,26-35,Married,4,4,2,79
1,Female,26-35,Married,3,2,3,79.9
,Female,26-35,Single,3,3,2,70
1,Female,26-35,Married,1,3,2,0
1,Female,36-45,Single,3,2,2,70
1,Female,36-45,Single,3,2,2,159
1,Female,36-45,Single,3,2,2,159
1,Female,36-45,Married,3,,3,129
,Female,36-45,Single,2,4,3,69
1,Female,16-25,Married,3,2,3,99
1,Male,26-35,Single,2,1,3,85
1,Female,16-25,Single,2,2,2,88
1,Female,36-45,Single,3,2,2,298
1,Female,26-35,Single,,4,3,238
,Male,26-35,Single,3,,2,59.9
1,Female,26-35,Married,3,,2,69
1,Female,26-35,Married,3,2,2,189
,Female,46-55,Single,1,,2,59
1,Male,36-45,Married,4,2,2,230
,Male,36-45,Married,3,4,,0
,Female,36-45,Married,3,4,2,0
1,Male,26-35,Single,2,,2,59
1,Female,26-35,Single,3,3,3,98
,Female,36-45,Married,2,3,3,0
1,Female,36-45,Married,2,3,3,89
1,Male,36-45,Married,3,1,3,298
1,Male,26-35,Married,3,1,3,79
,Female,16-25,Married,2,5,3,108
1,Male,26-35,Married,3,4,3,59
1,Female,16-25,Single,3,2,2,109.9
1,Female,36-45,Married,4,1,2,230
1,Female,36-45,Married,4,1,2,0
1,Male,26-35,Single,3,1,2,78
1,Female,>=56,Single,3,3,3,245
1,Female,26-35,Single,3,1,3,69.9
1,Female,36-45,Married,4,1,2,105
,Female,>=56,Married,3,4,2,65
1,Female,26-35,Single,3,4,2,79.9
1,Female,36-45,Single,2,,2,76
1,Female,26-35,Single,2,4,3,198
1,Female,16-25,Single,2,3,2,36
1,Female,16-25,Unknown,,3,,98
1,Female,26-35,Married,3,2,2,318
1,Male,26-35,Married,3,3,2,0
1,Female,26-35,Single,4,4,2,89
,Female,26-35,Single,4,4,2,68
1,Female,26-35,Married,3,2,2,149
1,Female,36-45,Married,3,1,2,298
1,Female,36-45,Married,3,1,3,59.9
,Female,26-35,Married,3,3,3,0
1,Female,26-35,Married,3,3,3,129
1,Female,26-35,Unknown,,3,,78
1,Female,16-25,Married,,1,3,139
1,Female,26-35,Married,4,2,2,250
1,Female,26-35,Single,3,2,1,139.9
1,Female,26-35,Single,2,2,3,199
1,Female,26-35,Single,2,2,3,188
1,Female,16-25,Single,2,2,4,139
1,Male,26-35,Married,3,2,2,149
,Male,16-25,Single,,2,4,0
,Male,16-25,Single,,2,4,0
,Male,16-25,Single,,2,4,0
1,Female,>=56,Married,2,1,2,89
1,Male,>=56,Married,2,4,2,150
1,Male,36-45,Married,3,1,2,99
1,Male,16-25,Single,3,2,3,59.9
,Female,16-25,Unknown,,2,,39
,Female,16-25,Unknown,,3,,55
1,Male,16-25,Single,3,1,2,245
1,Male,26-35,Married,3,1,2,79
1,Male,26-35,Single,3,4,2,88
1,Female,16-25,Single,3,4,2,78
1,Female,26-35,Married,3,4,2,79
1,Female,26-35,Married,2,3,2,0
,Female,26-35,Single,2,4,3,198
,Female,26-35,Single,2,4,3,178
,Female,26-35,Single,2,4,3,0
1,Female,26-35,Single,2,4,3,39
,Female,26-35,Single,2,4,3,0
,Female,26-35,Single,2,4,3,148
,Female,26-35,Single,2,4,3,0
,Female,26-35,Single,2,4,3,0
,Female,26-35,Single,2,4,3,178
,Female,26-35,Single,2,4,3,0
,Female,26-35,Single,2,4,3,0
,Male,26-35,Married,3,2,2,0
1,Female,36-45,Married,4,1,2,59
1,Female,16-25,Single,1,3,2,78
1,Female,26-35,Single,3,2,2,78
1,Male,26-35,Single,3,2,2,139.9
,Female,26-35,Single,2,1,2,59
1,Female,26-35,Single,4,2,2,245
1,Female,>=56,Married,3,1,2,188
1,Female,26-35,Single,3,2,2,88
1,Female,26-35,Single,3,4,2,78
1,Female,16-25,Married,3,2,2,78
,Female,26-35,Single,3,3,2,0
1,Female,26-35,Single,4,2,2,79
1,Female,26-35,Single,4,2,2,79
,Female,16-25,Single,3,4,2,0
,Male,16-25,Unknown,,1,,0
1,Female,26-35,Married,3,,2,59.9
,Male,16-25,Single,2,,2,0
,Male,16-25,Single,2,,2,0
,Male,16-25,Single,2,,2,0
1,Female,26-35,Married,1,4,2,198
1,Female,26-35,Single,3,1,2,288
1,Female,46-55,Single,2,3,3,78
1,Male,16-25,Married,4,1,2,99
1,Male,16-25,Married,4,1,2,269
1,Female,16-25,Unknown,,4,,279
1,Female,36-45,Single,,2,4,85
,Female,16-25,Single,3,3,2,69.9
1,Female,26-35,Married,3,3,2,298
,Female,26-35,Married,3,3,2,0
1,Male,26-35,Single,3,2,3,195
1,Female,16-25,Single,3,,3,65
,Female,16-25,Unknown,,2,,0
1,Female,36-45,Married,3,2,3,16
1,Female,26-35,Married,4,2,2,79.9
1,Female,26-35,Married,4,2,2,79.9
,Female,26-35,Single,3,3,3,139.9
1,Female,26-35,Single,3,3,3,59.9
1,Female,16-25,Single,2,2,3,100
1,Female,16-25,Single,3,1,2,69
1,Female,>=56,Married,4,3,2,79
1,Male,16-25,Unknown,2,3,,129
1,Female,36-45,Single,3,2,2,56
1,Female,16-25,Single,2,1,2,79.9
,Female,26-35,Married,3,5,3,200
1,Male,16-25,Married,3,3,2,78
,Female,16-25,Unknown,,3,,48
1,Female,26-35,Married,2,3,3,245
1,Female,46-55,Unknown,,1,,139
1,Male,>=56,Married,3,2,2,0
1,Female,36-45,Married,3,2,,79
,Male,16-25,Single,3,2,2,0
1,Male,46-55,Single,2,,2,79.9
,Female,16-25,Unknown,,2,,0
1,Female,36-45,Married,3,1,2,66
1,Female,26-35,Single,3,4,2,69.9
1,Male,26-35,Married,4,5,2,298
1,Female,26-35,Single,3,2,3,110
1,Female,26-35,Single,3,2,3,199
1,Female,26-35,Single,3,1,2,99
1,Female,>=56,Married,4,2,2,69.9
1,Male,36-45,Married,3,3,2,298
,Female,26-35,Single,3,,2,159
,Female,26-35,Single,3,,2,0
1,Female,26-35,Single,3,,2,100
1,Female,26-35,Single,3,,2,298
1,Female,26-35,Married,2,2,3,59.9
,Female,36-45,Married,3,1,2,89
1,Male,36-45,Married,3,3,2,298
1,Male,26-35,Married,3,2,2,298
,Male,26-35,Married,3,2,2,0
1,Female,46-55,Unknown,,3,,89
,Female,>=56,Married,4,1,1,0
1,Female,26-35,Single,3,1,2,59.9
,Female,36-45,Married,3,3,2,0
1,Female,36-45,Married,3,3,2,99
1,Female,16-25,Single,2,4,3,210
,Female,16-25,Single,2,4,3,0
1,Male,46-55,Married,3,2,3,0
1,Female,26-35,Unknown,3,,,65
,Female,16-25,Single,,2,4,55
1,Female,36-45,Single,3,1,3,24.5
1,Female,26-35,Single,3,4,2,59.9
1,Male,26-35,Married,3,3,2,69.9
,Female,26-35,Single,3,2,2,175
1,Male,16-25,Married,3,2,3,65
1,Female,26-35,Single,2,2,2,129
1,Female,26-35,Single,3,2,2,198
1,Female,36-45,Married,3,3,2,198
,Female,16-25,Married,3,3,2,0
1,Female,26-35,Single,2,2,2,360
1,Female,26-35,Married,3,2,3,79
1,Female,26-35,Unknown,,2,,78
1,Female,26-35,Unknown,,2,,78
1,Female,36-45,Married,3,1,2,148
1,Male,26-35,Single,4,1,2,59.9
1,Female,26-35,Single,3,2,2,55
1,Female,36-45,Married,2,3,1,110
,Male,16-25,Single,3,2,2,300
1,Female,46-55,Married,1,4,2,59.9
1,Female,16-25,Single,3,1,2,99
1,Female,16-25,Single,3,2,3,299
1,Female,16-25,Married,3,2,3,78
1,Female,16-25,Unknown,,,,248
1,Male,36-45,Single,3,2,2,79.9
1,Female,26-35,Married,2,4,3,49
1,Female,26-35,Married,2,4,3,110
1,Female,36-45,Married,3,2,3,69
,Female,36-45,Married,3,2,3,0
1,Female,16-25,Married,2,3,2,93.5
1,Female,16-25,Married,2,3,2,69
,Female,16-25,Single,3,2,2,0
,Female,16-25,Single,3,2,2,0
1,Female,16-25,Single,2,1,3,59.9
1,Female,36-45,Single,3,1,2,79
1,Female,26-35,Unknown,,3,,110
1,Male,26-35,Single,2,2,2,78
,Female,26-35,Married,2,2,2,0
1,Female,26-35,Married,2,2,2,500
,Female,26-35,Married,2,2,2,0
1,Male,16-25,Single,2,2,2,79.9
1,Female,16-25,Single,2,,2,178
1,Female,16-25,Single,2,,2,298
1,Male,46-55,Single,,3,2,298
1,Female,26-35,Married,4,2,2,298
1,Female,26-35,Single,2,2,3,78
1,Male,36-45,Married,3,4,2,89
1,Male,36-45,Married,3,4,2,182
,Male,36-45,Married,3,4,2,0
1,Male,36-45,Married,3,1,2,298
1,Male,26-35,Single,3,2,2,330
1,Female,16-25,Single,3,1,2,240
1,Male,26-35,Single,4,2,2,245
1,Male,26-35,Single,4,2,2,245
1,Female,26-35,Unknown,,2,,110
1,Female,26-35,Single,2,2,2,78
1,Female,26-35,Married,3,2,2,336
1,Female,26-35,Single,3,1,2,59
1,Female,26-35,Married,3,2,2,99
1,Female,16-25,Single,3,1,1,245
1,Female,26-35,Married,4,2,2,239
1,Female,26-35,Married,4,2,2,79
1,Female,26-35,Married,4,2,2,139.9
1,Female,26-35,Married,4,2,2,139.9
1,Female,16-25,Single,2,2,3,100
1,Female,26-35,Married,3,4,2,249
1,Female,26-35,Single,2,4,2,99
,Female,36-45,Married,3,1,2,0
1,Male,16-25,Single,4,3,3,19.9
1,Male,26-35,Married,2,2,2,89
1,Female,26-35,Married,3,2,2,129
1,Male,46-55,Married,3,1,2,65
1,Female,16-25,Single,3,4,3,49
1,Female,26-35,Married,3,3,3,138
1,Male,36-45,Married,3,1,3,12
1,Male,16-25,Unknown,,2,,89
1,Female,>=56,Single,,4,4,298
1,Female,26-35,Married,4,1,2,79.9
1,Male,26-35,Married,3,3,2,95
,Female,46-55,Married,3,1,3,0
1,Female,46-55,Married,3,1,3,400
1,Male,>=56,Married,4,2,2,59.9
1,Female,26-35,Single,3,3,2,260
1,Female,26-35,Single,3,3,2,80
,Female,26-35,Single,3,1,3,0
1,Male,36-45,Married,4,2,2,168
1,Female,16-25,Single,3,4,3,85
1,Male,36-45,Married,3,,2,59.9
1,Female,26-35,Single,3,2,3,79
1,Female,46-55,Single,4,1,2,39
,Male,26-35,Unknown,,1,,99
,Female,26-35,Married,3,2,3,0
1,Female,26-35,Single,2,4,2,79
1,Male,36-45,Married,3,2,1,139.9
,Male,26-35,Single,2,2,2,0
1,Female,26-35,Single,3,2,2,78
1,Female,16-25,Single,3,1,2,300
1,Female,46-55,Single,3,1,3,69
1,Female,36-45,Married,,1,3,59
1,Female,36-45,Married,4,1,2,93.5
1,Male,26-35,Single,3,2,1,298
1,Female,26-35,Married,4,2,2,109
1,Female,46-55,Single,4,2,2,59.9
1,Female,26-35,Married,3,1,2,61
1,Female,26-35,Married,2,,2,99
1,Female,26-35,Married,3,,2,199
1,Female,16-25,Single,3,3,3,79.9
1,Male,26-35,Unknown,,4,,89
1,Female,26-35,Single,3,1,2,298
,Female,36-45,Unknown,,2,,0
1,Female,36-45,Unknown,,2,,129
1,Male,36-45,Married,4,2,2,55
1,Female,26-35,Married,3,2,2,139.9
1,Female,16-25,Single,3,2,3,198
1,Female,16-25,Single,3,1,2,298
1,Female,16-25,Single,3,4,2,298
,Female,36-45,Married,3,4,2,0
,Female,26-35,Single,3,3,3,167
,Male,26-35,Married,4,3,2,0
1,Male,26-35,Married,4,3,2,99
,Female,26-35,Married,3,3,2,59
1,Female,26-35,Married,2,2,2,77
1,Female,26-35,Single,3,4,2,178
,Female,16-25,Single,3,3,2,0
1,Female,36-45,Unknown,,2,,139
1,Female,36-45,Unknown,,2,,37
1,Male,26-35,Married,3,4,1,110
1,Female,>=56,Unknown,,1,,89
1,Female,46-55,Single,2,1,2,86
1,Male,26-35,Single,3,1,3,118
1,Male,36-45,Married,4,1,2,0
1,Female,26-35,Single,3,4,2,99
1,Female,26-35,Married,,2,2,119
1,Female,26-35,Single,4,3,2,108
1,Female,36-45,Single,4,2,2,198
,Male,16-25,Single,4,2,2,0
,Male,36-45,Married,2,4,2,69
1,Male,26-35,Married,3,4,3,79.9
1,Male,26-35,Married,3,4,3,139.9
1,Male,46-55,Married,4,2,2,149
1,Female,26-35,Married,2,2,2,179
,Male,16-25,Unknown,2,2,,59
,Male,26-35,Single,2,4,4,175
1,Female,26-35,Married,3,,2,79.9
1,Female,16-25,Single,1,2,2,55
1,Female,16-25,Single,1,2,2,129
1,Female,26-35,Married,3,2,3,298
1,Female,26-35,Single,3,1,2,269
,Male,36-45,Single,3,4,2,0
,Female,26-35,Married,4,1,2,0
1,Female,26-35,Married,4,1,2,178
1,Female,16-25,Unknown,,2,,59
1,Female,36-45,Single,2,2,3,59.9
1,Female,26-35,Married,4,2,2,89
1,Female,46-55,Single,3,3,2,79
1,Female,46-55,Single,3,3,2,298
1,Female,16-25,Single,3,1,3,78
,Male,26-35,Single,3,2,2,200
,Female,26-35,Single,,4,4,21.9
1,Female,16-25,Single,3,2,3,79.9
1,Female,26-35,Single,3,2,3,79.9
1,Female,26-35,Single,2,3,3,79
1,Male,36-45,Married,3,1,2,0
,Male,36-45,Married,3,1,2,0
,Female,16-25,Single,2,1,2,250
1,Male,36-45,Married,4,1,2,108
,Female,16-25,Single,3,4,2,55
1,Female,36-45,Married,3,2,3,78
1,Female,36-45,Married,3,2,2,238
,Male,26-35,Unknown,,1,,198
1,Male,16-25,Married,3,2,2,59.9
1,Female,26-35,Married,2,2,,288
1,Male,36-45,Married,4,2,2,109
1,Male,26-35,Married,3,3,3,99
1,Female,16-25,Single,3,2,2,69
1,Female,16-25,Single,3,2,2,69
,Female,16-25,Single,3,2,2,0
,Female,36-45,Married,4,1,2,0
,Female,46-55,Unknown,,4,,29
1,Male,16-25,Single,2,,3,299
,Male,36-45,Married,1,,2,79
1,Female,16-25,Unknown,,2,,188
1,Male,26-35,Married,3,1,2,89
1,Male,26-35,Married,3,1,2,149
1,Male,26-35,Married,3,1,2,89
1,Male,26-35,Married,3,1,2,89
,Male,26-35,Married,3,1,2,89
,Female,16-25,Married,2,3,2,69
1,Female,>=56,Married,3,1,2,78
1,Female,26-35,Single,3,5,2,109
1,Female,26-35,Single,3,5,2,228
1,Female,26-35,Unknown,4,2,,170
1,Female,26-35,Single,3,4,2,59
,Male,36-45,Married,3,,2,59
1,Female,36-45,Married,3,3,2,298
1,Female,26-35,Married,3,4,2,129
,Female,26-35,Married,3,4,2,0
1,Female,36-45,Single,2,2,2,65
1,Male,26-35,Married,1,3,3,139
1,Male,26-35,Married,1,3,3,129
1,Male,36-45,Married,3,,2,69
1,Male,36-45,Married,3,,2,69
1,Female,36-45,Married,3,1,2,128
1,Female,26-35,Married,4,4,1,119
1,Female,26-35,Married,3,4,2,79.9
,Male,16-25,Single,3,2,2,78
1,Male,26-35,Married,3,4,3,69
,Female,16-25,Married,3,3,2,49
,Male,16-25,Single,3,1,2,0
1,Female,16-25,Single,3,3,2,65
1,Female,26-35,Single,3,2,3,69.9
1,Female,26-35,Single,3,2,3,139
1,Male,16-25,Single,3,3,3,100
,Male,26-35,Married,3,2,1,145
1,Female,16-25,Single,3,3,2,298
1,Female,16-25,Single,3,1,2,119
1,Male,26-35,Married,3,2,1,78
1,Female,26-35,Single,3,3,3,65
1,Female,16-25,Single,2,4,3,69.9
,Female,16-25,Married,3,2,3,49
1,Female,26-35,Single,3,1,2,178
1,Female,36-45,Married,4,1,2,69
,Male,36-45,Married,1,4,2,0
1,Female,36-45,Unknown,2,4,,78
,Female,16-25,Single,2,,3,68
1,Female,26-35,Married,3,2,2,298
1,Female,16-25,Unknown,,2,,90
1,Female,26-35,Married,3,2,2,149
1,Male,16-25,Married,2,1,2,78
1,Male,16-25,Married,2,1,2,78
1,Male,16-25,Married,2,1,2,78
,Male,36-45,Single,2,4,2,305
,Female,26-35,Married,3,4,2,0
1,Female,26-35,Single,3,2,3,79
,Female,26-35,Married,3,4,2,59
1,Female,36-45,Married,3,1,2,0
1,Female,16-25,Single,3,2,3,39.9
1,Male,26-35,Unknown,,4,,69.9
1,Female,26-35,Single,3,4,2,355
1,Male,26-35,Single,4,2,2,139
1,Female,26-35,Single,3,2,2,298
1,Female,26-35,Single,3,2,2,178
1,Female,26-35,Married,2,4,2,90
1,Female,16-25,Unknown,,2,,108
1,Female,16-25,Single,2,2,2,49
,Male,26-35,Single,3,1,2,59
,Male,26-35,Single,2,,2,0
1,Female,36-45,Married,3,2,2,148
,Female,36-45,Unknown,,4,,0
1,Female,16-25,Single,3,1,2,245
1,Female,>=56,Single,2,3,3,110
1,Male,16-25,Single,4,1,2,298
1,Female,36-45,Married,2,4,3,170
1,Female,46-55,Single,3,2,1,79.9
1,Female,16-25,Single,3,1,2,148
,Female,26-35,Married,3,4,2,210
,Female,26-35,Married,4,2,2,0
1,Female,26-35,Married,4,2,2,99
1,Female,36-45,Married,3,3,1,298
1,Female,26-35,Unknown,,1,,69.9
1,Female,26-35,Unknown,,1,,158
1,Female,26-35,Unknown,,1,,150
1,Female,16-25,Single,3,,3,376
1,Female,36-45,Single,3,1,2,78
1,Male,26-35,Single,3,4,2,178
1,Male,26-35,Single,3,4,2,298
1,Male,26-35,Married,4,1,2,79.9
1,Male,26-35,Married,4,1,2,79.9
1,Male,26-35,Married,4,1,2,139.9
1,Female,16-25,Single,3,3,2,298
1,Female,26-35,Married,3,2,2,245
,Female,16-25,Single,3,3,1,0
,Female,26-35,Married,2,4,3,0
,Female,26-35,Married,2,4,3,230
1,Female,16-25,Single,3,4,2,79
1,Female,26-35,Single,3,2,2,59.9
1,Female,26-35,Married,3,4,2,69
1,Female,16-25,Single,2,4,3,78
1,Female,26-35,Single,2,3,3,99
1,Female,36-45,Married,4,,2,188
1,Female,16-25,Married,3,3,3,59.9
,Male,36-45,Married,2,4,3,0
1,Male,>=56,Married,3,2,1,298
1,Female,16-25,Single,2,2,2,139
,Female,26-35,Unknown,2,5,,0
,Female,26-35,Single,3,2,2,0
1,Female,26-35,Single,3,2,2,250
1,Female,16-25,Single,3,1,2,79
1,Female,26-35,Unknown,,5,,65
,Male,26-35,Married,3,3,2,0
,Male,26-35,Married,3,3,2,0
1,Female,26-35,Single,2,4,3,135
,Male,16-25,Single,2,1,2,0
,Female,26-35,Married,3,3,2,168
,Male,26-35,Single,2,2,3,59
,Male,16-25,Single,3,1,3,139
,Female,16-25,Single,3,3,2,0
1,Female,26-35,Married,2,4,2,59
1,Male,46-55,Married,3,4,2,77
,Female,26-35,Married,3,3,3,0
,Male,46-55,Married,3,1,3,0
,Male,46-55,Married,3,1,3,0
1,Male,46-55,Married,3,1,3,165
1,Male,>=56,Married,3,1,3,99.9
1,Female,16-25,Unknown,,2,,167
1,Female,26-35,Married,4,1,2,139.9
1,Female,16-25,Single,3,3,2,158
1,Female,>=56,Married,4,1,3,149
1,Female,>=56,Married,4,1,3,150
1,Female,26-35,Single,3,1,3,148
,Female,36-45,Single,,3,4,79
,Female,26-35,Single,3,2,2,99
1,Male,16-25,Married,2,5,2,78
,Female,26-35,Single,3,2,3,58
1,Female,16-25,Unknown,,5,,97
,Male,16-25,Single,2,3,2,0
,Male,16-25,Single,2,3,2,0
1,Female,26-35,Married,3,1,2,79.9
1,Female,36-45,Married,2,2,3,69.9
1,Female,36-45,Married,,4,2,0
1,Female,26-35,Single,4,1,2,149
,Female,36-45,Married,2,4,2,75
1,Female,16-25,Married,3,,2,78
,Female,26-35,Married,3,2,2,0
,Male,16-25,Single,3,4,2,0
,Female,16-25,Married,,3,3,0
,Male,16-25,Single,3,2,2,0
1,Female,46-55,Unknown,,2,,55
,Female,46-55,Unknown,,2,,145
,Female,36-45,Married,,2,3,58
1,Male,26-35,Married,2,1,2,128
1,Female,>=56,Unknown,,2,,209
,Female,26-35,Unknown,,2,,0
1,Female,>=56,Married,,2,,109
1,Male,36-45,Married,4,2,2,298
1,Male,36-45,Married,4,2,2,178
1,Male,36-45,Married,4,2,2,298
1,Female,>=56,Single,3,2,3,80
,Female,16-25,Married,3,1,2,49
,Female,16-25,Married,3,1,2,99
1,Female,36-45,Married,4,3,2,78
1,Male,26-35,Single,3,2,2,80
1,Female,26-35,Married,1,4,3,85
,Female,16-25,Single,1,1,2,0
,Female,16-25,Single,1,1,2,0
1,Female,16-25,Single,1,1,2,59
,Female,16-25,Single,1,1,2,0
1,Female,16-25,Single,3,2,3,78
1,Female,26-35,Married,4,1,2,298
1,Female,36-45,Single,3,1,2,110
1,Female,36-45,Unknown,,2,,78
,Female,36-45,Unknown,,2,,58
1,Female,16-25,Single,,3,,69
,Female,36-45,Married,3,4,2,96
1,Female,>=56,Single,3,4,2,59
1,Male,36-45,Married,4,2,2,400
1,Female,36-45,Married,4,4,2,129
1,Female,36-45,Married,4,4,2,0
,Female,16-25,Married,4,2,3,39
1,Female,26-35,Single,3,4,2,79
1,Male,26-35,Unknown,,3,,298
1,Male,16-25,Single,3,2,2,85
1,Male,16-25,Married,,3,,99.9
1,Female,16-25,Single,2,2,3,49
1,Male,26-35,Single,3,1,2,188
,Female,26-35,Married,2,1,1,0
