"Date","Model","Sales","COGS","RD"
2010-08-05,1,108300,60204,0
2010-08-06,1,103900,58124,0
2010-08-07,1,106600,59715,0
2010-08-08,1,108400,59575,0
2010-08-09,1,102900,58049,0
2010-08-10,1,100300,64073,0
2010-08-11,1,101300,58945,0
2010-08-12,1,106300,63930,0
2010-08-13,1,108900,57764,0
2010-08-14,1,104700,63303,0
2010-08-15,1,104900,56444,0
2010-08-16,1,105500,60598,0
2010-08-17,1,100100,59210,0
2010-08-18,1,108800,58724,0
2010-08-19,1,104100,59137,0
2010-08-20,1,96500,57750,0
2010-08-21,1,101000,60795,0
2010-08-22,1,108300,58370,0
2010-08-23,1,99300,60860,0
2010-08-24,1,103900,62589,0
2010-08-25,1,102900,59956,0
2010-08-26,1,105100,59746,0
2010-08-27,1,99200,58983,0
2010-08-28,1,106700,60019,0
2010-08-29,1,106600,57179,0
2010-08-30,1,101100,60223,0
2010-08-31,1,104600,57798,0
2010-09-01,1,103500,57104,0
2010-09-02,1,109700,57863,0
2010-09-03,1,100300,60768,0
2010-09-04,1,102600,58136,0
2010-09-05,1,96900,57442,0
2010-09-06,1,96000,53288,0
2010-09-07,1,100500,53078,0
2010-09-08,1,101000,56260,0
2010-09-09,1,100700,55220,0
2010-09-10,1,98400,54595,0
2010-09-11,1,101200,58676,0
2010-09-12,1,97000,57774,0
2010-09-13,1,96600,56873,0
2010-09-14,1,100500,61783,0
2010-09-15,1,102300,60467,0
2010-09-16,1,99700,55553,0
2010-09-17,1,93800,53476,0
2010-09-18,1,102500,57763,0
2010-09-19,1,102100,54786,0
2010-09-20,1,98300,57275,0
2010-09-21,1,100700,51531,0
2010-09-22,1,95500,52498,0
2010-09-23,1,94300,52980,0
2010-09-24,1,94300,56714,0
2010-09-25,1,98000,53530,0
2010-09-26,1,92200,58439,0
2010-09-27,1,96100,54910,0
2010-09-28,1,98700,56014,0
2010-09-29,1,100500,52555,0
2010-09-30,1,96500,53590,0
2010-10-01,1,93000,53312,0
2010-10-02,1,97700,56007,0
2010-10-03,1,95800,55728,0
2010-10-04,1,96000,53652,0
2010-10-05,1,99200,51922,0
2010-10-06,1,91300,53579,0
2010-10-07,1,92600,51020,0
2010-10-08,1,102100,50119,0
2010-10-09,1,91400,55509,0
2010-10-10,1,93100,53572,0
2010-10-11,1,96600,51013,0
2010-10-12,1,91500,53707,0
2010-10-13,1,88200,53014,0
2010-10-14,1,92600,52528,0
2010-10-15,1,92100,52457,0
2010-10-16,1,94900,53146,0
2010-10-17,1,95100,51555,0
2010-10-18,1,92700,53212,0
2010-10-19,1,93300,51068,0
2010-10-20,1,93200,54936,0
2010-10-21,1,90400,51755,0
2010-10-22,1,101300,54034,0
2010-10-23,1,88800,50992,0
2010-10-24,1,92500,54514,0
2010-10-25,1,97700,51817,0
2010-10-26,1,89100,51539,0
2010-10-27,1,83800,49810,0
2010-10-28,1,97700,48358,0
2010-10-29,1,79400,46975,0
2010-10-30,1,84400,47388,0
2010-10-31,1,86400,50840,0
2010-11-01,1,88300,49664,0
2010-11-02,1,89800,52494,0
2010-11-03,1,86900,50420,0
2010-11-04,1,83900,49728,0
2010-11-05,1,86200,49312,0
2010-11-06,1,86000,47998,0
2010-11-07,1,83800,48273,0
2010-11-08,1,92500,49445,0
2010-11-09,1,85100,52827,0
2010-11-10,1,92300,44263,0
2010-11-11,1,83400,48335,0
2010-11-12,1,91400,49093,0
2010-11-13,1,81500,47296,0
2010-11-14,1,87500,51161,0
2010-11-15,1,85500,51366,0
2010-11-16,1,84800,46670,0
2010-11-17,1,85400,47497,0
2010-11-18,1,83400,45010,0
2010-11-19,1,87800,51221,0
2010-11-20,1,84300,48389,0
2010-11-21,1,87900,45558,0
2010-11-22,1,90400,48455,0
2010-11-23,1,86600,48177,0
2010-11-24,1,86300,44380,0
2010-11-25,1,85200,47070,0
2010-11-26,1,86700,45688,0
2010-11-27,1,82600,45824,0
2010-11-28,1,87000,46030,0
2010-11-29,1,83500,44786,0
2010-11-30,1,82500,46027,0
2010-12-01,1,83600,46991,0
2010-12-02,1,87800,49957,0
2010-12-03,1,84000,43814,0
2010-12-04,1,83000,43605,0
2010-12-05,1,77000,43259,0
2010-12-06,1,76700,45810,0
2010-12-07,1,81300,44636,0
2010-12-08,1,79800,42979,0
2010-12-09,1,78900,45185,0
2010-12-10,1,84800,45666,0
2010-12-11,1,83500,46009,0
2010-12-12,1,82200,46008,0
2010-12-13,1,89300,43385,0
2010-12-14,1,87400,44487,0
2010-12-15,1,80300,46210,0
2010-12-16,1,77300,44622,0
2010-12-17,1,83500,42690,0
2010-12-18,1,79200,43309,0
2010-12-19,1,82800,44825,0
2010-12-20,1,74500,44340,0
2010-12-21,1,75900,45235,0
2010-12-22,1,76600,42889,0
2010-12-23,1,82000,45370,0
2010-12-24,1,77400,45093,0
2010-12-25,1,84500,42471,0
2010-12-26,1,79400,45021,0
2010-12-27,1,81000,43847,0
2010-12-28,1,76000,39916,0
2010-12-29,1,77500,43913,0
2010-12-30,1,77100,44532,0
2010-12-31,1,81000,44668,0
2011-01-01,1,80600,44253,0
2011-01-02,1,77600,40116,0
2011-01-03,1,75100,39081,0
2011-01-04,1,77500,43835,0
2011-01-05,1,73800,44178,0
2011-01-06,1,72500,40593,0
2011-01-07,1,80300,41556,0
2011-01-08,1,77500,43898,0
2011-01-09,1,73800,39555,0
2011-01-10,1,77700,42930,0
2011-01-11,1,76700,37968,0
2011-01-12,1,76000,41205,0
2011-01-13,1,75900,40170,0
2011-01-14,1,76900,39342,0
2011-01-15,1,74600,39478,0
2011-01-16,1,77000,40166,0
2011-01-17,1,73900,40302,0
2011-01-18,1,79500,39543,0
2011-01-19,1,74900,40368,0
2011-01-20,1,78200,40091,0
2011-01-21,1,73800,39539,0
2011-01-22,1,78900,40502,0
2011-01-23,1,75000,39330,0
2011-01-24,1,74600,39948,0
2011-01-25,1,72100,37674,0
2011-01-26,1,70000,39670,0
2011-01-27,1,68000,38085,0
2011-01-28,1,68600,37670,0
2011-01-29,1,73600,38082,0
2011-01-30,1,71900,40078,0
2011-01-31,1,76000,39181,0
2011-02-01,1,73000,40419,0
2011-02-02,1,72000,37870,0
2011-02-03,1,71400,38007,0
2011-02-04,1,69500,39451,0
2011-02-05,1,69900,37866,0
2011-02-06,1,71600,36626,0
2011-02-07,1,76500,38002,0
2011-02-08,1,64100,37381,0
2011-02-09,1,70000,40064,0
2011-02-10,1,71100,39168,0
2011-02-11,1,68500,37514,0
2011-02-12,1,74100,36274,0
2011-02-13,1,74400,38751,0
2011-02-14,1,67600,36616,0
2011-02-15,1,68800,41432,0
2011-02-16,1,65200,33792,0
2011-02-17,1,74200,36268,0
2011-02-18,1,70100,41772,0
2011-02-19,1,66000,34889,0
2011-02-20,1,70200,36196,0
2011-02-21,1,69800,36194,0
2011-02-22,1,64300,39152,0
2011-02-23,1,68200,37637,0
2011-02-24,1,66200,35640,0
2011-02-25,1,66400,37359,0
2011-02-26,1,66700,37083,0
2011-02-27,1,64900,38182,0
2011-02-28,1,66700,38731,0
2011-03-01,1,68100,33708,0
2011-03-02,1,72400,34119,0
2011-03-03,1,63500,32467,0
2011-03-04,1,63200,36525,0
2011-03-05,1,62700,33153,0
2011-03-06,1,66400,37141,0
2011-03-07,1,64700,35283,0
2011-03-08,1,62300,36313,0
2011-03-09,1,65500,35212,0
2011-03-10,1,66200,35417,0
2011-03-11,1,66700,34659,0
2011-03-12,1,66700,34727,0
2011-03-13,1,62900,35619,0
2011-03-14,1,64500,36718,0
2011-03-15,1,67000,35892,0
2011-03-16,1,64700,33141,0
2011-03-17,1,61900,35065,0
2011-03-18,1,62800,34445,0
2011-03-19,1,65000,33756,0
2011-03-20,1,64300,36161,0
2011-03-21,1,65600,34579,0
2011-03-22,1,62200,33340,0
2011-03-23,1,65800,33201,0
2011-03-24,1,65400,38081,0
2011-03-25,1,61600,31824,0
2011-03-26,1,65300,32167,0
2011-03-27,1,63600,34984,0
2011-03-28,1,57900,32302,0
2011-03-29,1,63700,34638,0
2011-03-30,1,64600,34087,0
2011-03-31,1,64800,34429,0
2011-04-01,1,64200,32092,0
2011-04-02,1,58200,34496,0
2011-04-03,1,56700,35663,0
2011-04-04,1,63600,33600,0
2011-04-05,1,64100,31812,0
2011-04-06,1,58900,31124,0
2011-04-07,1,60300,35795,0
2011-04-08,1,63700,31878,0
2011-04-09,1,57400,31465,0
2011-04-10,1,62300,33044,0
2011-04-11,1,55100,30432,0
2011-04-12,1,59800,34553,0
2011-04-13,1,58300,30979,0
2011-04-14,1,57100,31253,0
2011-04-15,1,57300,33038,0
2011-04-16,1,58300,30015,0
2011-04-17,1,58500,34066,0
2011-04-18,1,57400,34065,0
2011-04-19,1,58600,31729,0
2011-04-20,1,58200,30423,0
2011-04-21,1,57400,31795,0
2011-04-22,1,58800,31931,0
2011-04-23,1,57100,31724,0
2011-04-24,1,58000,30281,0
2011-04-25,1,54700,27946,0
2011-04-26,1,57600,30554,0
2011-04-27,1,55300,30621,0
2011-04-28,1,54700,31101,0
2011-04-29,1,55300,30482,0
2011-04-30,1,58200,30687,0
2011-05-01,1,56900,31990,0
2011-05-02,1,58700,28488,0
2011-05-03,1,55000,31370,0
2011-05-04,1,55200,28143,0
2011-05-05,1,57300,29034,0
2011-05-06,1,55000,32053,0
2011-05-07,1,53200,28209,0
2011-05-08,1,55200,27178,0
2011-05-09,1,54300,27864,0
2011-05-10,1,58200,30333,0
2011-05-11,1,56900,31362,0
2011-05-12,1,54500,26969,0
2011-05-13,1,52700,28340,0
2011-05-14,1,56300,28751,0
2011-05-15,1,53200,27789,0
2011-05-16,1,60200,28955,0
2011-05-17,1,49100,29640,0
2011-05-18,1,52700,29364,0
2011-05-19,1,60700,30255,0
2011-05-20,1,50700,27990,0
2011-05-21,1,52600,27509,0
2011-05-22,1,52600,26754,0
2011-05-23,1,56900,28262,0
2011-05-24,1,54700,25654,0
2011-05-25,1,51800,28328,0
2011-05-26,1,54300,28465,0
2011-05-27,1,53900,30864,0
2011-05-28,1,55500,28668,0
2011-05-29,1,56300,27502,0
2011-05-30,1,49000,27569,0
2011-05-31,1,49600,26951,0
2011-06-01,1,47200,28116,0
2011-06-02,1,53100,27429,0
2011-06-03,1,48200,26263,0
2011-06-04,1,54000,27907,0
2011-06-05,1,51300,28592,0
2011-06-06,1,52800,25231,0
2011-06-07,1,51200,27630,0
2011-06-08,1,51500,24613,0
2011-06-09,1,50400,29068,0
2011-06-10,1,50500,28244,0
2011-06-11,1,51800,28792,0
2011-06-12,1,53400,27283,0
2011-06-13,1,52200,29064,0
2011-06-14,1,48200,25224,0
2011-06-15,1,51000,25635,0
2011-06-16,1,50100,25223,0
2011-06-17,1,49100,25222,0
2011-06-18,1,52600,27140,0
2011-06-19,1,50300,26591,0
2011-06-20,1,48500,26453,0
2011-06-21,1,48300,24602,0
2011-06-22,1,55400,26383,0
2011-06-23,1,46300,26245,0
2011-06-24,1,46800,26449,0
2011-06-25,1,50900,24530,0
2011-06-26,1,47000,26310,0
2011-06-27,1,50400,27954,0
2011-06-28,1,49600,27816,0
2011-06-29,1,50100,26239,0
2011-06-30,1,46700,26649,0
2011-07-01,1,50200,25073,0
2011-07-02,1,51900,24798,0
2011-07-03,1,48900,27263,0
2011-07-04,1,46300,26714,0
2011-07-05,1,45300,25686,0
2011-07-06,1,52100,22945,0
2011-07-07,1,46400,26369,0
2011-07-08,1,45800,26437,0
2011-07-09,1,48100,25477,0
2011-07-10,1,44300,24106,0
2011-07-11,1,50300,24516,0
2011-07-12,1,45100,23146,0
2011-07-13,1,45500,23419,0
2011-07-14,1,48100,24035,0
2011-07-15,1,43700,23144,0
2011-07-16,1,49600,22184,0
2011-07-17,1,49600,22937,0
2011-07-18,1,46200,22867,0
2011-07-19,1,44300,20676,0
2011-07-20,1,46300,23893,0
2011-07-21,1,46500,24234,0
2011-07-22,1,46200,22385,0
2011-07-23,1,44100,23274,0
2011-07-24,1,40700,21904,0
2011-07-25,1,44500,22383,0
2011-07-26,1,44600,20397,0
2011-07-27,1,45300,22518,0
2011-07-28,1,44400,20875,0
2011-07-29,1,44700,22174,0
2011-07-30,1,46600,24637,0
2011-07-31,1,41500,20462,0
2011-08-01,1,45700,22309,0
2011-08-02,1,41000,23540,0
2011-08-03,1,42300,23197,0
2011-08-04,1,46700,26617,0
2011-08-05,1,41100,22374,0
2011-08-06,1,39600,22579,0
2011-08-07,1,40600,19089,0
2011-08-08,1,44200,21893,0
2011-08-09,1,45700,22097,0
2011-08-10,1,39300,22097,0
2011-08-11,1,41300,22438,0
2011-08-12,1,41900,19906,0
2011-08-13,1,40500,22505,0
2011-08-14,1,42200,20794,0
2011-08-15,1,43200,23666,0
2011-08-16,1,42800,21408,0
2011-08-17,1,44100,23117,0
2011-08-18,1,40800,21885,0
2011-08-19,1,40100,20996,0
2011-08-20,1,39000,20585,0
2011-08-21,1,41200,19011,0
2011-08-22,1,37400,22019,0
2011-08-23,1,41300,19762,0
2011-08-24,1,41500,21813,0
2011-08-25,1,45000,19897,0
2011-08-26,1,41800,20444,0
2011-08-27,1,40100,20033,0
2011-08-28,1,40200,18733,0
2011-08-29,1,39300,21057,0
2011-08-30,1,41000,20441,0
2011-08-31,1,40000,19893,0
2011-09-01,1,38300,20371,0
2011-09-02,1,40700,18798,0
2011-09-03,1,41700,21532,0
2011-09-04,1,36800,23171,0
2011-09-05,1,40300,21188,0
2011-09-06,1,35900,20094,0
2011-09-07,1,42400,23237,0
2011-09-08,1,41200,19273,0
2011-09-09,1,42000,21186,0
2011-09-10,1,39800,20228,0
2011-09-11,1,42400,18997,0
2011-09-12,1,36800,21183,0
2011-09-13,1,37400,20773,0
2011-09-14,1,36800,19679,0
2011-09-15,1,36800,20840,0
2011-09-16,1,39600,18652,0
2011-09-17,1,38800,19540,0
2011-09-18,1,38600,18651,0
2011-09-19,1,35900,19607,0
2011-09-20,1,38500,18103,0
2011-09-21,1,38300,17010,0
2011-09-22,1,38600,19263,0
2011-09-23,1,35800,19399,0
2011-09-24,1,38400,18579,0
2011-09-25,1,40800,19398,0
2011-09-26,1,40600,17895,0
2011-09-27,1,38300,20148,0
2011-09-28,1,38900,18372,0
2011-09-29,1,36600,20898,0
2011-09-30,1,36200,19804,0
2011-10-01,1,39800,18711,0
2011-10-02,1,39000,16935,0
2011-10-03,1,37500,18163,0
2011-10-04,1,33500,18368,0
2011-10-05,1,38500,18708,0
2011-10-06,1,38600,17001,0
2011-10-07,1,37200,18366,0
2011-10-08,1,35200,18092,0
2011-10-09,1,35800,19593,0
2011-10-10,1,33800,18159,0
2011-10-11,1,34200,19660,0
2011-10-12,1,35100,18021,0
2011-10-13,1,33800,20000,0
2011-10-14,1,32400,17747,0
2011-10-15,1,33500,17610,0
2011-10-16,1,33400,20544,0
2011-10-17,1,30200,17199,0
2011-10-18,1,34900,17335,0
2011-10-19,1,35400,17335,0
2011-10-20,1,32700,17129,0
2011-10-21,1,34000,17948,0
2011-10-22,1,32000,17196,0
2011-10-23,1,32700,17946,0
2011-10-24,1,29800,16240,0
2011-10-25,1,32900,17058,0
2011-10-26,1,30500,19446,0
2011-10-27,1,32400,15351,0
2011-10-28,1,36000,18284,0
2011-10-29,1,29900,17874,0
2011-10-30,1,32600,16305,0
2011-10-31,1,34400,18214,0
2011-11-01,1,33900,16781,0
2011-11-02,1,38900,16917,0
2011-11-03,1,32700,16575,0
2011-11-04,1,33000,17598,0
2011-11-05,1,27900,17324,0
2011-11-06,1,32000,16983,0
2011-11-07,1,32300,15141,0
2011-11-08,1,32300,16845,0
2011-11-09,1,32800,15140,0
2011-11-10,1,29100,18344,0
2011-11-11,1,32900,14729,0
2011-11-12,1,30400,15888,0
2011-11-13,1,34600,16092,0
2011-11-14,1,31300,15273,0
2011-11-15,1,33800,15341,0
2011-11-16,1,32000,16772,0
2011-11-17,1,30700,15954,0
2011-11-18,1,30100,14112,0
2011-11-19,1,27800,14385,0
2011-11-20,1,32200,14589,0
2011-11-21,1,28900,17179,0
2011-11-22,1,31900,16633,0
2011-11-23,1,29100,16564,0
2011-11-24,1,29900,18267,0
2011-11-25,1,29300,14382,0
2011-11-26,1,27400,16494,0
2011-11-27,1,30800,15130,0
2011-11-28,1,29900,15062,0
2011-11-29,1,29100,15538,0
2011-11-30,1,29800,16696,0
2011-12-01,1,27500,15196,0
2011-12-02,1,31500,15196,0
2011-12-03,1,33900,15468,0
2011-12-04,1,31000,13491,0
2011-12-05,1,29400,14377,0
2011-12-06,1,34000,17033,0
2011-12-07,1,28200,14307,0
2011-12-08,1,31000,14579,0
2011-12-09,1,29600,15737,0
2011-12-10,1,27800,17917,0
2011-12-11,1,31000,13352,0
2011-12-12,1,30400,16281,0
2011-12-13,1,28800,13896,0
2011-12-14,1,30500,15462,0
2011-12-15,1,27300,17028,0
2011-12-16,1,28600,15325,0
2011-12-17,1,27300,15256,0
2011-12-18,1,28700,15596,0
2011-12-19,1,26500,14438,0
2011-12-20,1,24900,14505,0
2011-12-21,1,28200,12053,0
2011-12-22,1,28400,15798,0
2011-12-23,1,27200,15525,0
2011-12-24,1,28400,13822,0
2011-12-25,1,26200,14503,0
2011-12-26,1,29500,14639,0
2011-12-27,1,26900,15047,0
2011-12-28,1,30600,13889,0
2011-12-29,1,29000,14909,0
2011-12-30,1,27400,14773,0
2011-12-31,1,24800,13683,0
2012-01-01,1,26600,14567,0
2012-01-02,1,26900,13069,0
2012-01-03,1,27400,12524,0
2012-01-04,1,24900,12932,0
2012-01-05,1,26900,15314,0
2012-01-06,1,26500,15450,0
2012-01-07,1,28700,14905,0
2012-01-08,1,26600,12931,0
2012-01-09,1,28800,12794,0
2012-01-10,1,26400,13950,0
2012-01-11,1,29300,13133,0
2012-01-12,1,26000,13745,0
2012-01-13,1,25800,13541,0
2012-01-14,1,30100,13676,0
2012-01-15,1,25200,11907,0
2012-01-16,1,25400,13335,0
2012-01-17,1,25400,13539,0
2012-01-18,1,25100,14083,0
2012-01-19,1,26300,13402,0
2012-01-20,1,25200,13061,0
2012-01-21,1,26300,13129,0
2012-01-22,1,23800,13537,0
2012-01-23,1,25000,12924,0
2012-01-24,1,28500,14556,0
2012-01-25,1,22500,11903,0
2012-01-26,1,26800,11426,0
2012-01-27,1,26200,13398,0
2012-01-28,1,23900,12241,0
2012-01-29,1,26700,11833,0
2012-01-30,1,24600,13601,0
2012-01-31,1,24800,13396,0
2012-02-01,1,24300,12784,0
2012-02-02,1,25800,11151,0
2012-02-03,1,25400,12783,0
2012-02-04,1,24900,12850,0
2012-02-05,1,22200,11558,0
2012-02-06,1,24700,11422,0
2012-02-07,1,22200,13053,0
2012-02-08,1,26900,12849,0
2012-02-09,1,21600,13528,0
2012-02-10,1,23300,14139,0
2012-02-11,1,23600,13119,0
2012-02-12,1,22400,12303,0
2012-02-13,1,22500,13662,0
2012-02-14,1,24600,11487,0
2012-02-15,1,23400,12030,0
2012-02-16,1,20700,12098,0
2012-02-17,1,21100,10058,0
2012-02-18,1,21400,12708,0
2012-02-19,1,25200,12708,0
2012-02-20,1,24400,10941,0
2012-02-21,1,24300,13047,0
2012-02-22,1,26800,10600,0
2012-02-23,1,21100,11755,0
2012-02-24,1,24200,10260,0
2012-02-25,1,22200,12094,0
2012-02-26,1,22100,11210,0
2012-02-27,1,22800,11889,0
2012-02-28,1,24500,12772,0
2012-02-29,1,22300,11617,0
2012-03-01,1,22300,11073,0
2012-03-02,1,22700,12499,0
2012-03-03,1,19800,11208,0
2012-03-04,1,21100,12362,0
2012-03-05,1,25000,11411,0
2012-03-06,1,21000,11682,0
2012-03-07,1,21400,13040,0
2012-03-08,1,23100,11342,0
2012-03-09,1,26300,10594,0
2012-03-10,1,19600,10458,0
2012-03-11,1,23900,11205,0
2012-03-12,1,20400,11068,0
2012-03-13,1,22700,11611,0
2012-03-14,1,25000,11475,0
2012-03-15,1,22500,11271,0
2012-03-16,1,22400,11542,0
2012-03-17,1,22900,10320,0
2012-03-18,1,21200,10387,0
2012-03-19,1,21300,9504,0
2012-03-20,1,17700,11541,0
2012-03-21,1,23200,11201,0
2012-03-22,1,22800,11133,0
2012-03-23,1,20300,11879,0
2012-03-24,1,21300,10792,0
2012-03-25,1,21500,9910,0
2012-03-26,1,22100,10181,0
2012-03-27,1,20400,9705,0
2012-03-28,1,21900,10587,0
2012-03-29,1,21700,11605,0
2012-03-30,1,20100,10315,0
2012-03-31,1,21400,11333,0
